Cód.,Município,PIB (Mil Reais),Impostos (Mil Reais),VA da agropecuária (Mil Reais),VA da indústria (Mil Reais),VA dos serviços (Mil Reais),VA da administração pública (Mil Reais)
3300159,Aperibé (RJ),223202.0,18797.0,8002.0,15379.0,75674.0,105349.0
3300209,Araruama (RJ),3528684.0,277832.0,42201.0,701122.0,1471751.0,1035778.0
3300225,Areal (RJ),389603.0,61568.0,3289.0,85921.0,118750.0,120075.0
3300233,Armação dos Búzios (RJ),2084042.0,99951.0,11466.0,594318.0,986950.0,391358.0
3300258,Arraial do Cabo (RJ),1832831.0,65534.0,21594.0,830013.0,601850.0,313840.0
3300308,Barra do Piraí (RJ),2468776.0,252740.0,35226.0,348163.0,1116057.0,716589.0
3300407,Barra Mansa (RJ),5904171.0,585289.0,56780.0,810275.0,3101318.0,1350510.0
3300456,Belford Roxo (RJ),8763589.0,864144.0,3524.0,1267254.0,3213362.0,3415306.0
3300506,Bom Jardim (RJ),867102.0,151321.0,97939.0,134728.0,268398.0,214716.0
3300605,Bom Jesus do Itabapoana (RJ),869561.0,107538.0,48012.0,86047.0,346137.0,281827.0
3300704,Cabo Frio (RJ),9337320.0,421399.0,47616.0,3024443.0,3863003.0,1980858.0
3300803,Cachoeiras de Macacu (RJ),1215378.0,140599.0,62972.0,222185.0,350142.0,439480.0
3300902,Cambuci (RJ),405064.0,86509.0,62774.0,38005.0,90420.0,127354.0
3300936,Carapebus (RJ),439224.0,23002.0,9569.0,106170.0,111138.0,189345.0
3300951,Comendador Levy Gasparian (RJ),487367.0,45801.0,4863.0,224519.0,128290.0,83893.0
3301009,Campos dos Goytacazes (RJ),23841837.0,1231583.0,243709.0,9224679.0,9251665.0,3890201.0
3301108,Cantagalo (RJ),758090.0,82913.0,28643.0,273976.0,204582.0,167976.0
3301157,Cardoso Moreira (RJ),353565.0,45295.0,20096.0,68420.0,102217.0,117537.0
3301207,Carmo (RJ),581508.0,76655.0,22597.0,172126.0,154088.0,156042.0
3301306,Casimiro de Abreu (RJ),1582461.0,70261.0,10635.0,560735.0,542913.0,397918.0
3301405,Conceição de Macabu (RJ),420654.0,39495.0,15646.0,13013.0,155997.0,196502.0
3301504,Cordeiro (RJ),414414.0,26034.0,6494.0,47085.0,164400.0,170401.0
3301603,Duas Barras (RJ),239119.0,39376.0,24974.0,14562.0,56833.0,103374.0
3301702,Duque de Caxias (RJ),47153673.0,6660255.0,16458.0,12498227.0,21453464.0,6525269.0
3301801,Engenheiro Paulo de Frontin (RJ),272664.0,26943.0,7664.0,25082.0,82905.0,130070.0
